Deal ID,Stage,Lead Source,Created Time
zcrm_5071505000009206277,Process Lost,Linkedin Kristina Drozd,2022-07-26 13:13:36
zcrm_5071505000009206313,Process Lost,Linkedin Dasha,2022-07-26 13:14:34
zcrm_5071505000009206348,Process Lost,Linkedin Dasha,2022-07-26 13:15:37
zcrm_5071505000009398124,Process Lost,Linkedin Aitosha,2022-07-28 12:24:08
zcrm_5071505000009474098,Process Lost,Linkedin Dasha,2022-07-29 09:04:58
zcrm_5071505000009508007,Process Lost,Linkedin Dasha,2022-07-29 14:45:16
zcrm_5071505000009617018,Shown Interest,referral from our client,2022-08-01 17:29:34
zcrm_5071505000009617232,Process Lost,Linkedin Kristina Drozd,2022-08-01 19:03:45
zcrm_5071505000009757022,Process Lost,Linkedin Aitosha,2022-08-02 10:59:41
zcrm_5071505000009757056,Follow-up Job,landing,2022-08-02 11:00:45
zcrm_5071505000009770007,Process Lost,Linkedin Dasha,2022-08-02 12:52:21
zcrm_5071505000009770075,Closure Process,referral from our client,2022-08-02 13:40:55
zcrm_5071505000009785628,Closure Process,Linkedin Nastya,2022-08-03 12:47:46
zcrm_5071505000009853020,Process Lost,landing,2022-08-03 13:09:52
zcrm_5071505000009853068,Process Lost,Linkedin Kristina,2022-08-03 13:13:36
zcrm_5071505000009853159,Process Lost,Linkedin Aitosha,2022-08-03 13:23:50
zcrm_5071505000009853202,Process Lost,Linkedin Kristina Drozd,2022-08-03 13:25:56
zcrm_5071505000009853297,Process Lost,deal from an existing client,2022-08-03 13:47:46
zcrm_5071505000009972186,Follow-up Job,Linkedin Kristina Drozd,2022-08-05 15:10:51
zcrm_5071505000009972601,Process Lost,Linkedin Kristina Drozd,2022-08-08 11:14:18
zcrm_5071505000010022077,Closure Process,referral from Nastya Sartan,2022-08-08 13:28:22
zcrm_5071505000010022149,Closure Process,landing,2022-08-08 13:39:25
zcrm_5071505000010269079,Process Lost,landing,2022-08-10 16:08:52
zcrm_5071505000010269114,Closure Process,,2022-08-10 16:11:18
zcrm_5071505000010274040,Process Lost,Linkedin Kristina,2022-08-10 17:46:24
zcrm_5071505000010348014,Closure Process,landing,2022-08-11 14:15:49
zcrm_5071505000010354061,Closure Process,deal from an existing client,2022-08-11 15:46:39
zcrm_5071505000010354091,Process Lost,Linkedin Kristina Drozd,2022-08-11 16:03:24
zcrm_5071505000010430007,Follow-up Job,Linkedin Aitosha,2022-08-12 12:40:38
zcrm_5071505000010432030,Closure Process,deal from an existing client,2022-08-12 13:55:44
zcrm_5071505000010448010,Closure Process,deal from an existing client,2022-08-12 16:41:48
zcrm_5071505000010448045,Process Lost,Linkedin Kristina,2022-08-12 16:46:23
zcrm_5071505000010455007,Process Lost,Linkedin Dasha,2022-08-12 17:27:50
zcrm_5071505000010455656,Proposal Made,Linkedin Dasha,2022-08-15 12:04:36
zcrm_5071505000010535013,Process Lost,Linkedin Dasha,2022-08-16 08:37:06
zcrm_5071505000010546062,Process Lost,referral from our client,2022-08-16 11:39:53
zcrm_5071505000010546141,Process Lost,Linkedin Kristina,2022-08-16 12:18:13
zcrm_5071505000010546182,Process Lost,Linkedin Aitosha,2022-08-16 12:22:58
zcrm_5071505000010589582,Process Lost,Linkedin Kristina,2022-08-17 11:27:10
zcrm_5071505000010589625,Process Lost,Linkedin Kristina,2022-08-17 11:30:01
zcrm_5071505000010589669,Process Lost,Linkedin Kristina,2022-08-17 11:32:18
zcrm_5071505000010657313,Process Lost,Linkedin Nastya,2022-08-18 11:26:35
zcrm_5071505000010756012,Closure Process,deal from an existing client,2022-08-18 17:57:54
zcrm_5071505000010838044,Process Lost,deal from an existing client,2022-08-19 12:10:27
zcrm_5071505000010871004,Process Lost,Linkedin Nastya,2022-08-19 17:37:27
zcrm_5071505000010871045,Process Lost,Linkedin Dasha,2022-08-19 17:38:41
zcrm_5071505000011015004,Process Lost,landing,2022-08-22 17:58:55
zcrm_5071505000011015067,Process Lost,Linkedin Dasha,2022-08-22 19:05:43
zcrm_5071505000011015112,Follow-up Job,Linkedin Nastya,2022-08-22 19:07:36
zcrm_5071505000011023034,Process Lost,referral from our client,2022-08-23 08:40:50
zcrm_5071505000011023065,Process Lost,Linkedin Dasha,2022-08-23 08:42:13
zcrm_5071505000011023110,Process Lost,Linkedin Nastya,2022-08-23 08:43:41
zcrm_5071505000011023134,Closure Process,deal from an existing client,2022-08-23 08:51:17
zcrm_5071505000011023162,Closure Process,Linkedin Dasha,2022-08-23 09:01:20
